X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
89.0,89.0,train,3.3962816364020693E-4,31.750681378669462,0.48018040220853275
90.0,90.0,train,0.0010153878758158326,69.6348419192041,0.8585889446675965
91.0,91.0,train,7.505252691412677E-4,58.897403286461,0.764452405699608
92.0,92.0,train,2.562087994476965E-4,24.051704377282675,0.38955740045855003
93.0,93.0,train,4.3409419358797177E-4,39.44913891506949,0.5666704012176749
94.0,94.0,train,2.809636174135557E-4,26.640857079327752,0.4179853712170606
95.0,95.0,train,3.9993518842748767E-4,36.80345280643587,0.5371958658960514
97.0,97.0,train,4.1224459758499573E-4,37.709242564823526,0.5480413996210873
98.0,98.0,train,0.0024120152223830256,93.67727399366343,0.9904058702355353
99.0,99.0,train,3.9553853927245007E-4,36.420460061895824,0.5332593214948426
