Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.7483E-5,6.005764106,0.138660312,0.551907514,0.026041667,0.03125
7.95114E-5,6.256966235,0.142019504,0.544508671,0.026041667,0.03125
8.14255E-5,6.506697775,0.145177491,0.53734104,0.028645833,0.041666667
8.29462E-5,6.753435169,0.147678076,0.530404624,0.033854167,0.041666667
8.57142E-5,7.006328949,0.152210833,0.523468208,0.036458333,0.041666667
8.7204E-5,7.256761119,0.154640484,0.516763006,0.036458333,0.041666667
8.91759E-5,7.503793142,0.157845673,0.510289017,0.0390625,0.041666667
9.14186E-5,7.756301441,0.161476349,0.503815029,0.0390625,0.041666667
9.37679E-5,8.006513977,0.165262724,0.497572254,0.041666667,0.041666667
9.56717E-5,8.253217137,0.168318641,0.491560694,0.044270833,0.041666667
9.76293E-5,8.504693944,0.171449163,0.485549133,0.044270833,0.041666667
9.96822E-5,8.751272847,0.174719427,0.479768786,0.044270833,0.041666667
1.0129E-4,9.002894543,0.17727211,0.473988439,0.044270833,0.052083333
1.03352E-4,9.258660761,0.180533944,0.468208092,0.049479167,0.052083333
1.05428E-4,9.509581455,0.183803953,0.46265896,0.049479167,0.052083333
1.08181E-4,9.756124989,0.188121436,0.45734104,0.049479167,0.052083333
1.10301E-4,10.006934316,0.19143004,0.452023121,0.0625,0.052083333
1.11671E-4,10.251336261,0.193562089,0.446936416,0.065104167,0.052083333
1.14077E-4,10.510956979,0.19729014,0.441618497,0.065104167,0.0625
1.15593E-4,10.752226997,0.199631625,0.436763006,0.067708333,0.0625
1.17373E-4,11.008837513,0.202370705,0.431676301,0.067708333,0.0625
1.19124E-4,11.257494275,0.205057795,0.426820809,0.0703125,0.0625
1.22184E-4,11.511032355,0.209729189,0.421965318,0.0703125,0.0625
1.24187E-4,11.75744862,0.212773735,0.41734104,0.075520833,0.0625
1.25962E-4,12.007664563,0.215460106,0.412716763,0.078125,0.0625
1.28459E-4,12.262116356,0.219225848,0.408092486,0.078125,0.0625
1.30735E-4,12.508402076,0.222641767,0.403699422,0.083333333,0.0625
1.33101E-4,12.758549488,0.2261756,0.399306358,0.0859375,0.072916667
1.35468E-4,13.013523355,0.229697419,0.394913295,0.091145833,0.083333333
1.37515E-4,13.258845064,0.232728415,0.390751445,0.09375,0.104166667
1.40838E-4,13.509442496,0.237624084,0.386589595,0.096354167,0.104166667
1.43379E-4,13.751346912,0.241346858,0.38265896,0.098958333,0.104166667
1.45165E-4,14.01105206,0.24395258,0.37849711,0.098958333,0.104166667
1.47845E-4,14.260113245,0.247846879,0.374566474,0.109375,0.104166667
1.5076E-4,14.513823317,0.252058012,0.370635838,0.109375,0.114583333
1.54163E-4,14.758289203,0.256945996,0.366936416,0.109375,0.114583333
1.56798E-4,15.007159692,0.260708261,0.363236994,0.114583333,0.125
1.59876E-4,15.260246172,0.265078887,0.359537572,0.114583333,0.125
1.63309E-4,15.502853459,0.269922841,0.356069364,0.114583333,0.125
1.65753E-4,15.766463375,0.273352583,0.352369942,0.119791667,0.125
1.68529E-4,16.000752662,0.277228022,0.349132948,0.119791667,0.135416667
1.70529E-4,16.255127358,0.280007803,0.34566474,0.125,0.145833333
1.72818E-4,16.512701264,0.28317492,0.342196532,0.127604167,0.145833333
1.74054E-4,16.755448531,0.2848795,0.338959538,0.127604167,0.145833333
1.7592E-4,17.000045814,0.287446121,0.335722543,0.127604167,0.15625
1.77871E-4,17.265244387,0.290119345,0.332254335,0.130208333,0.15625
1.79977E-4,17.515894302,0.29299278,0.329017341,0.130208333,0.15625
1.82207E-4,17.751457514,0.296024382,0.326011561,0.130208333,0.15625
1.8426E-4,18.008601408,0.298802737,0.322774566,0.130208333,0.15625
1.87343E-4,18.25014597,0.302954466,0.319768786,0.1328125,0.166666667
1.8983E-4,18.514318868,0.306287075,0.316531792,0.1328125,0.166666667
1.92377E-4,18.762908888,0.309681492,0.313526012,0.135416667,0.166666667
1.94296E-4,19.014384615,0.312229895,0.310520231,0.138020833,0.166666667
1.96481E-4,19.268204436,0.315117986,0.307514451,0.145833333,0.177083333
1.98951E-4,19.505447759,0.318369674,0.304739884,0.145833333,0.177083333
2.02526E-4,19.766179669,0.323047097,0.301734104,0.145833333,0.177083333
2.04465E-4,20.010403918,0.325571731,0.298959538,0.145833333,0.177083333
2.06691E-4,20.257002775,0.32845682,0.296184971,0.145833333,0.177083333
2.09723E-4,20.507175198,0.332368841,0.293410405,0.145833333,0.177083333
2.11527E-4,20.75984774,0.334684076,0.290635838,0.153645833,0.177083333
2.13552E-4,21.014891227,0.337274525,0.287861272,0.153645833,0.177083333
2.1825E-4,21.252065565,0.34324563,0.285317919,0.15625,0.177083333
2.22181E-4,21.516498539,0.348200145,0.282543353,0.158854167,0.1875
2.26006E-4,21.762402224,0.352985651,0.28,0.158854167,0.1875
2.27121E-4,22.011796762,0.354374682,0.277456647,0.158854167,0.1875
2.32243E-4,22.264487714,0.360713666,0.274913295,0.161458333,0.1875
2.36429E-4,22.522664335,0.365847483,0.272369942,0.161458333,0.1875
2.39544E-4,22.760670941,0.369642109,0.270057803,0.161458333,0.1875
2.4228E-4,23.001291125,0.372955245,0.267745665,0.1640625,0.1875
2.46406E-4,23.270968246,0.377919684,0.265202312,0.171875,0.1875
