x,y,species cloglog values
371.0,371.0,0.24916063
372.0,372.0,0.013674684
373.0,373.0,0.19690095
374.0,374.0,0.05780689
375.0,375.0,0.043091964
376.0,376.0,0.46239614
377.0,377.0,0.1816429
378.0,378.0,0.62093884
379.0,379.0,0.10666832
380.0,380.0,0.10997581
381.0,381.0,0.0710852
382.0,382.0,0.120445065
383.0,383.0,0.007853385
384.0,384.0,0.03550831
385.0,385.0,0.1962579
386.0,386.0,0.08795713
387.0,387.0,0.04085102
388.0,388.0,0.26809928
389.0,389.0,0.21459037
390.0,390.0,0.03178235
391.0,391.0,0.43549752
392.0,392.0,0.027327701
393.0,393.0,0.22153924
394.0,394.0,0.0012090809
395.0,395.0,0.0014156579
396.0,396.0,0.08229109
397.0,397.0,0.27414373
398.0,398.0,0.012749483
399.0,399.0,0.11131524
400.0,400.0,0.2840275
401.0,401.0,0.42172706
402.0,402.0,0.06352647
403.0,403.0,0.039376922
404.0,404.0,0.48791078
405.0,405.0,0.13700823
406.0,406.0,0.688652
407.0,407.0,0.0057885516
408.0,408.0,0.14317976
409.0,409.0,0.3356029
410.0,410.0,0.028887402
411.0,411.0,0.018803192
412.0,412.0,0.115906425
413.0,413.0,0.044352688
414.0,414.0,0.094095856
415.0,415.0,0.434547
416.0,416.0,0.023552153
417.0,417.0,0.10966041
418.0,418.0,0.30489838
419.0,419.0,0.13381018
420.0,420.0,0.20114626
421.0,421.0,0.13204943
422.0,422.0,0.015538897
423.0,423.0,0.24445622
424.0,424.0,0.1064445
425.0,425.0,0.058662463
426.0,426.0,0.05824261
427.0,427.0,0.11712828
428.0,428.0,0.18064891
429.0,429.0,0.23955032
430.0,430.0,0.15662496
431.0,431.0,0.40543073
432.0,432.0,0.4463426
433.0,433.0,0.65091693
434.0,434.0,0.034341358
435.0,435.0,0.28566056
436.0,436.0,0.13876972
437.0,437.0,0.01681868
438.0,438.0,0.03304689
439.0,439.0,0.048427213
440.0,440.0,0.09587223
441.0,441.0,0.018564023
442.0,442.0,0.20732273
443.0,443.0,0.4500892
444.0,444.0,0.2032805
445.0,445.0,0.6665279
446.0,446.0,0.040637508
447.0,447.0,0.13262254
448.0,448.0,0.39322418
449.0,449.0,0.73821133
450.0,450.0,0.15826772
451.0,451.0,0.49679324
452.0,452.0,0.44982204
453.0,453.0,0.09084176
454.0,454.0,0.07883879
455.0,455.0,0.008973888
456.0,456.0,0.32633793
457.0,457.0,0.31224418
458.0,458.0,0.72614896
459.0,459.0,0.050174605
460.0,460.0,0.039379008
461.0,461.0,0.32607964
462.0,462.0,0.14462873
463.0,463.0,0.69279504
464.0,464.0,0.2320083
465.0,465.0,0.057511564
466.0,466.0,0.114163265
467.0,467.0,0.56128174
468.0,468.0,0.028087333
469.0,469.0,0.04695839
470.0,470.0,0.49426758
471.0,471.0,0.067598484
472.0,472.0,0.4116637
473.0,473.0,0.20881681
474.0,474.0,0.0543786
475.0,475.0,0.43277806
476.0,476.0,0.09696222
477.0,477.0,0.53041536
478.0,478.0,0.4980624
479.0,479.0,0.031037044
480.0,480.0,0.18800068
481.0,481.0,0.1509859
482.0,482.0,0.2234194
483.0,483.0,0.21279249
484.0,484.0,0.42990077
485.0,485.0,0.8899712
486.0,486.0,0.47585022
487.0,487.0,0.13593398
488.0,488.0,0.15370442
489.0,489.0,0.11615148
490.0,490.0,0.70116335
491.0,491.0,0.21709731
492.0,492.0,0.47772473
493.0,493.0,0.37468943
494.0,494.0,0.39038903
495.0,495.0,0.059254833
496.0,496.0,0.038057998
497.0,497.0,0.0113573335
498.0,498.0,0.6191015
499.0,499.0,0.67101616
500.0,500.0,0.041198224
501.0,501.0,0.015769953
502.0,502.0,0.029073184
503.0,503.0,0.26254794
504.0,504.0,0.2607754
505.0,505.0,0.04211687
506.0,506.0,0.1402672
507.0,507.0,0.21966287
508.0,508.0,0.19537884
509.0,509.0,0.14445896
510.0,510.0,0.3267069
511.0,511.0,0.09182673
512.0,512.0,0.49767715
513.0,513.0,0.18883345
514.0,514.0,0.012630113
515.0,515.0,0.6487846
516.0,516.0,0.10693208
517.0,517.0,0.33061
518.0,518.0,0.35334864
519.0,519.0,0.05174512
520.0,520.0,0.67592436
521.0,521.0,0.3400622
522.0,522.0,0.45507455
523.0,523.0,0.6352589
524.0,524.0,0.00691
525.0,525.0,0.07120976
526.0,526.0,0.63413405
527.0,527.0,0.18977843
528.0,528.0,0.1026084
529.0,529.0,0.08495223
530.0,530.0,0.007131564
531.0,531.0,0.09083014
532.0,532.0,0.106985986
533.0,533.0,0.6425082
534.0,534.0,0.087057486
535.0,535.0,4.6622098E-4
536.0,536.0,0.41557166
537.0,537.0,0.09376788
538.0,538.0,0.2050077
539.0,539.0,0.008861616
540.0,540.0,0.11172613
541.0,541.0,0.0017185244
542.0,542.0,0.077563636
543.0,543.0,0.5147003
544.0,544.0,0.24855383
545.0,545.0,0.08718952
546.0,546.0,0.6209127
547.0,547.0,0.42821753
548.0,548.0,0.055711467
549.0,549.0,0.023391115
550.0,550.0,0.21390933
551.0,551.0,0.9176103
552.0,552.0,0.27519
553.0,553.0,0.22300833
554.0,554.0,0.02776779
555.0,555.0,0.10412981
556.0,556.0,0.4913891
557.0,557.0,0.066701785
558.0,558.0,0.14707042
559.0,559.0,0.0934481
560.0,560.0,0.10193599
561.0,561.0,0.14854483
562.0,562.0,0.08277935
563.0,563.0,0.03410281
564.0,564.0,0.31139678
565.0,565.0,0.050546598
566.0,566.0,0.45707056
567.0,567.0,0.53673524
568.0,568.0,0.14710951
569.0,569.0,0.0313838
570.0,570.0,0.09411368
571.0,571.0,0.40851334
572.0,572.0,0.061279047
573.0,573.0,0.0031345338
574.0,574.0,0.32114303
575.0,575.0,0.2349413
576.0,576.0,0.010212071
577.0,577.0,0.6166039
578.0,578.0,0.005128313
579.0,579.0,0.18939225
580.0,580.0,0.7584729
581.0,581.0,0.13101025
582.0,582.0,0.075120956
583.0,583.0,0.08078742
584.0,584.0,0.056426205
585.0,585.0,0.13404101
586.0,586.0,0.7479375
587.0,587.0,0.17347318
588.0,588.0,0.29522356
589.0,589.0,0.39383763
590.0,590.0,0.0058221663
591.0,591.0,0.04976799
592.0,592.0,0.21002743
593.0,593.0,0.072160155
594.0,594.0,0.12348606
595.0,595.0,0.24227184
596.0,596.0,0.08294183
597.0,597.0,0.12737599
598.0,598.0,0.268143
599.0,599.0,0.09880854
600.0,600.0,0.09851357
601.0,601.0,0.2300732
