Record ID,Record date,Record time,Species,Lifestage,Sex,Quantity,County,Nearest town/City,Grid ref,Verification state,Latitude,Longitude
50320,2022-03-29,,Common frog,Spawn,unknown,1000,Perth and Kinross,,NN82,Considered Correct,56.35706489997062,-3.9443041204811315
50319,2022-03-29,,Common frog,Spawn,unknown,1000,Perth and Kinross,,NN82,Considered Correct,56.35706489997062,-3.9443041204811315
50318,2022-03-29,,Common frog,Spawn,unknown,1000,Perth and Kinross,,NN82,Considered Correct,56.35706489997062,-3.9443041204811315
50297,2022-03-22,11:09:00,Common frog,Tadpoles,unknown,Qty unknown,Perth and Kinross,Blairgowrie,NO14,Considered Correct,56.54334861209302,-3.4655389091534214
50296,2022-03-22,11:09:00,Common frog,Adult,male,12,Perth and Kinross,Blairgowrie,NO14,Considered Correct,56.54334861209302,-3.4655389091534214
50295,2022-03-27,18:03:00,Common toad,Adult,male,Qty unknown,Perth and Kinross,,NO04,Considered Correct,56.54132537199252,-3.628195796943699
50294,2022-03-27,18:03:00,Common lizard,Adult,unknown,1,Perth and Kinross,,NO04,Unable to Verify,56.54132537199252,-3.628195796943699
50279,2022-03-15,14:00:00,Common frog,Spawn,unknown,,Midlothian,Milton Bridge,NT26,Considered Correct,55.82658918429095,-3.278744634866987
50269,2022-03-27,17:15:00,Palmate newt,Adult,unknown,3,Perth and Kinross,Comrie,NN72,Considered Correct,56.35442229896726,-4.106192373703626
50233,2022-03-27,16:00:00,Common frog,Adult,unknown,2,Perth and Kinross,Abernyte,NO23,Considered Correct,56.45534300079353,-3.2998033487748177
50217,2022-03-27,14:30:00,Unknown lizard,Adult,unknown,1,Aberdeenshire,Fettercairn,NO67,Considered Correct,56.81976824951883,-2.656923384187114
50213,2022-03-27,13:13:00,Common lizard,Adult,unknown,2,Midlothian,,NT26,Unable to Verify,55.82658918429095,-3.278744634866987
50212,2022-03-26,16:19:00,Common frog,Spawn,unknown,3,Edinburgh City,Edinburgh,NT27,Considered Correct,55.91641542454328,-3.281701756420288
50211,2022-03-14,12:00:00,Common frog,Spawn,unknown,4,Stirling,Dunblane,NN70,Considered Correct,56.1748572993834,-4.096336928347887
50210,2022-03-27,15:30:00,Palmate newt,Adult,unknown,2,Stirling,Dunblane,NN70,Considered Correct,56.1748572993834,-4.096336928347887
