"Record ID","Record date","Record time",Species,Lifestage,Sex,Quantity,County,"Nearest town/City","Grid ref","Verification state"
65268,2024-07-05,09:00:00,"Common lizard",unknown,unknown,1,"Dumfries and Galloway","Newton Stewart",NX44,
65233,2024-06-25,12:33:00,"Common frog",Adult,unknown,1,"Scottish Borders",Leadburn,NT25,
65228,2024-07-03,11:00:00,"Unknown lizard",unknown,unknown,1,"City Of Edinburgh",Ravelston,NT27,
65224,2024-06-29,17:15:00,Adder,Adult,unknown,1,"Dumfries and Galloway",,NY48,
65223,2024-06-30,14:00:00,"Unknown frog or toad",Adult,unknown,1,"City Of Edinburgh","North Gyle",NT17,
65116,2024-06-22,20:00:00,"Unknown newt",unknown,unknown,1,"West Lothian","Livingston Village",NT06,
65114,2024-06-26,21:00:00,"Unknown frog or toad",unknown,unknown,1,"North Lanarkshire",Glasgow,NS77,
65084,2024-06-24,18:00:00,"Common lizard",Adult,unknown,1,Stirling,Glasgow,NS68,
65072,2024-06-12,11:47:00,Adder,Adult,female,1,"Scottish Borders",Innerleithen,NT32,
65071,2024-02-13,15:45:00,Adder,Sloughs,unknown,1,"Scottish Borders",Innerleithen,NT32,
65070,2024-02-13,15:40:00,Adder,Sloughs,unknown,1,"Scottish Borders",Innerleithen,NT32,
65069,2024-05-02,13:29:00,"Common frog",Adult,unknown,1,"Scottish Borders",Innerleithen,NT32,
65068,2024-05-02,,Adder,Sloughs,unknown,1,"Scottish Borders",Innerleithen,NT32,
65067,2024-05-02,,Adder,Sloughs,unknown,1,"Scottish Borders",Innerleithen,NT32,
65066,2024-05-02,,Adder,Sloughs,unknown,1,"Scottish Borders",Innerleithen,NT32,
65065,2024-05-02,,Adder,Sloughs,unknown,1,"Scottish Borders",Innerleithen,NT32,
65064,2024-05-02,,Adder,Adult,female,1,"Scottish Borders",Innerleithen,NT32,
65063,2024-05-02,13:06:00,Adder,Adult,female,1,"Scottish Borders",Innerleithen,NT32,
65062,2024-05-02,13:04:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
65061,2024-04-23,11:34:00,Adder,Adult,female,1,"Scottish Borders",Innerleithen,NT32,
65060,2024-04-23,10:54:00,Adder,Adult,unknown,1,"Scottish Borders",Innerleithen,NT23,
65059,2024-04-23,10:47:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
