x,y,species cloglog values
362.0,362.0,0.4564805
363.0,363.0,0.15036796
364.0,364.0,0.1330268
365.0,365.0,0.06828308
366.0,366.0,0.53275156
367.0,367.0,0.18978497
368.0,368.0,0.011044555
369.0,369.0,0.7428107
370.0,370.0,0.043832313
371.0,371.0,0.2196715
372.0,372.0,0.064464755
373.0,373.0,0.16330838
374.0,374.0,0.066841595
375.0,375.0,0.18144397
376.0,376.0,0.096985206
377.0,377.0,0.23434176
378.0,378.0,0.36083552
379.0,379.0,0.04568095
380.0,380.0,0.033854205
381.0,381.0,0.028820528
382.0,382.0,0.28865862
383.0,383.0,0.16609874
384.0,384.0,0.074417815
385.0,385.0,0.30742416
386.0,386.0,0.18042047
387.0,387.0,0.59867424
388.0,388.0,0.17346643
389.0,389.0,0.8956182
390.0,390.0,0.86983204
391.0,391.0,0.14241238
392.0,392.0,0.44255516
393.0,393.0,0.3507671
394.0,394.0,0.0089496225
395.0,395.0,0.07031158
396.0,396.0,0.104986206
397.0,397.0,0.18881567
398.0,398.0,0.13550638
399.0,399.0,0.083417356
400.0,400.0,0.025215175
401.0,401.0,0.16485882
402.0,402.0,0.3239242
403.0,403.0,0.68535304
404.0,404.0,0.5439442
405.0,405.0,0.39602745
406.0,406.0,0.085932136
407.0,407.0,0.07628425
408.0,408.0,0.10637651
409.0,409.0,0.9292071
410.0,410.0,0.21796615
411.0,411.0,0.25337443
412.0,412.0,0.077368796
413.0,413.0,0.2617312
414.0,414.0,0.031418037
415.0,415.0,0.09108449
416.0,416.0,0.24660254
417.0,417.0,0.08686822
418.0,418.0,0.08005535
419.0,419.0,0.12075368
420.0,420.0,0.14077812
421.0,421.0,0.23040825
422.0,422.0,0.9379595
423.0,423.0,0.07756308
424.0,424.0,0.21288307
425.0,425.0,0.35358167
426.0,426.0,0.43594494
427.0,427.0,0.07563353
428.0,428.0,0.25825137
429.0,429.0,0.042029023
430.0,430.0,0.34143996
431.0,431.0,0.03230174
432.0,432.0,0.034001675
433.0,433.0,0.053711187
434.0,434.0,0.06320047
435.0,435.0,0.50649846
436.0,436.0,0.3883954
437.0,437.0,0.31226555
438.0,438.0,0.100397155
439.0,439.0,0.2115763
440.0,440.0,0.12081919
441.0,441.0,0.052090637
442.0,442.0,0.8250629
443.0,443.0,0.39712104
444.0,444.0,0.5905964
445.0,445.0,0.49319044
446.0,446.0,0.2176672
447.0,447.0,0.16573152
448.0,448.0,0.34443003
449.0,449.0,0.1135657
450.0,450.0,0.063476376
451.0,451.0,0.04787474
452.0,452.0,0.10034507
453.0,453.0,0.03555438
454.0,454.0,0.14019778
455.0,455.0,0.07889415
456.0,456.0,0.02484408
457.0,457.0,0.105786175
458.0,458.0,0.14355318
459.0,459.0,0.714224
460.0,460.0,0.04205588
461.0,461.0,0.17466354
462.0,462.0,0.13930124
463.0,463.0,0.3948986
464.0,464.0,0.10501423
465.0,465.0,0.119940996
466.0,466.0,0.5039394
467.0,467.0,0.02382398
468.0,468.0,0.014257613
469.0,469.0,0.15377954
470.0,470.0,0.21580325
471.0,471.0,0.10786251
472.0,472.0,0.09125601
473.0,473.0,0.047430784
474.0,474.0,0.35781455
475.0,475.0,0.43326476
476.0,476.0,0.28463417
477.0,477.0,0.20762019
478.0,478.0,0.613311
479.0,479.0,0.33311543
480.0,480.0,0.069989346
481.0,481.0,0.15391463
482.0,482.0,0.47153908
483.0,483.0,0.024620172
484.0,484.0,0.03614679
485.0,485.0,0.10041136
486.0,486.0,0.3682507
487.0,487.0,0.13081339
488.0,488.0,0.28980663
489.0,489.0,0.10966528
490.0,490.0,0.10420957
491.0,491.0,0.028239224
492.0,492.0,0.043391578
493.0,493.0,0.18510549
494.0,494.0,0.08497184
495.0,495.0,0.057360817
496.0,496.0,0.19386859
497.0,497.0,0.24786252
498.0,498.0,0.059964776
499.0,499.0,0.39006203
500.0,500.0,0.015672756
501.0,501.0,0.035874903
502.0,502.0,0.19698535
503.0,503.0,0.12987822
504.0,504.0,0.02291264
505.0,505.0,0.029818783
506.0,506.0,0.23239411
507.0,507.0,0.4431778
508.0,508.0,0.39601037
509.0,509.0,0.017168446
510.0,510.0,0.07875867
511.0,511.0,0.08206078
512.0,512.0,0.35744983
513.0,513.0,0.2031234
514.0,514.0,0.41599175
515.0,515.0,0.06751862
516.0,516.0,0.04236948
517.0,517.0,0.11595803
518.0,518.0,0.26860523
519.0,519.0,0.1584646
520.0,520.0,0.15963063
521.0,521.0,0.12345297
522.0,522.0,0.002186278
523.0,523.0,0.31314474
524.0,524.0,0.03213924
525.0,525.0,0.25189823
526.0,526.0,0.10692161
527.0,527.0,0.25784856
528.0,528.0,0.049838312
529.0,529.0,0.06822457
530.0,530.0,0.23724857
531.0,531.0,0.042457066
532.0,532.0,0.32646447
533.0,533.0,0.04683625
534.0,534.0,0.22715984
535.0,535.0,0.09402573
536.0,536.0,0.10895439
