C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif
1.0,0.7758181,0.93366617,0.98838556,0.64782095,0.9402476,0.2595337,0.67884934,0.9866862,0.5110987,0.9184178,0.2883438,0.10406644
1.0,0.8633871,0.8544895,0.9328431,0.58892816,0.992404,0.20394689,0.7758313,0.94009787,0.030995436,0.80259126,0.41324252,0.02329651
1.0,0.89736634,0.9858061,0.6356722,0.8244994,0.7053961,0.29969507,0.9554786,0.93712795,0.2727883,0.7934211,0.35589397,0.24551837
1.0,0.6260693,0.9881444,0.73979104,0.8244994,0.87080586,0.40558022,0.94195473,0.99239665,0.65911955,0.7789586,0.34673107,0.16894843
1.0,0.6852485,0.97790724,0.8295871,0.64782095,0.86579657,0.62135565,0.9586037,0.9204886,0.51728386,0.75090104,0.23614581,0.119958326
0.92438966,0.97199076,0.61471236,0.91715235,0.058892846,0.98061395,0.19868201,0.19905293,0.9897611,0.13909416,0.6464428,0.094115645,0.0
1.0,0.7101113,0.963858,0.38653868,0.58892816,0.98032516,0.19482148,0.9708253,0.9441117,0.69025606,0.85396075,0.47045973,0.09954342
1.0,0.7316569,0.96599877,0.63291854,0.64782095,0.94124067,0.111047864,0.9681435,0.9890775,0.71642977,0.7252168,0.25374824,0.17634909
1.0,0.7320985,0.9811259,0.94744766,0.8244994,0.85133135,0.20181209,0.9831951,0.9687159,0.56807095,0.6491561,0.4662654,0.16746853
1.0,0.788355,0.98326623,0.6733633,0.64782095,0.9387496,0.32687932,0.94459957,0.99143016,0.21885432,0.73342186,0.27367887,0.18211626
