x,y,species cloglog values
456.0,456.0,0.06206143
457.0,457.0,0.0608512
458.0,458.0,0.37482482
459.0,459.0,0.84448636
460.0,460.0,0.5018467
461.0,461.0,0.031965945
462.0,462.0,0.43361327
463.0,463.0,0.50224215
464.0,464.0,0.072899625
465.0,465.0,0.05565058
466.0,466.0,0.39055538
467.0,467.0,0.17826831
468.0,468.0,0.06608548
469.0,469.0,0.0061932467
470.0,470.0,0.28706333
471.0,471.0,0.360999
472.0,472.0,0.03204401
473.0,473.0,0.029140187
474.0,474.0,0.6181797
475.0,475.0,0.27772215
476.0,476.0,0.5869479
477.0,477.0,0.1185511
478.0,478.0,0.096622765
479.0,479.0,0.2573779
480.0,480.0,0.012479448
481.0,481.0,0.13409239
482.0,482.0,0.06634403
483.0,483.0,0.028042264
484.0,484.0,0.16120672
485.0,485.0,0.022509716
486.0,486.0,0.018158823
487.0,487.0,0.1207531
488.0,488.0,0.31126222
489.0,489.0,0.9256824
490.0,490.0,0.11224819
491.0,491.0,0.03561354
492.0,492.0,0.06081507
493.0,493.0,0.099221304
494.0,494.0,0.14977211
495.0,495.0,0.05380029
496.0,496.0,0.49086648
497.0,497.0,0.040873587
498.0,498.0,0.84299856
499.0,499.0,0.092943996
500.0,500.0,0.14764519
501.0,501.0,0.48496333
502.0,502.0,0.5728558
503.0,503.0,0.108954735
504.0,504.0,0.42386654
505.0,505.0,0.41514015
506.0,506.0,0.0148468735
507.0,507.0,0.06281684
508.0,508.0,0.10469107
509.0,509.0,0.29859152
510.0,510.0,0.52959704
511.0,511.0,0.01882029
512.0,512.0,0.03512172
513.0,513.0,0.06194171
514.0,514.0,0.49739435
515.0,515.0,0.5634784
516.0,516.0,0.21630667
517.0,517.0,0.32474378
518.0,518.0,0.25481787
519.0,519.0,0.076911375
520.0,520.0,0.004399696
521.0,521.0,0.19713257
522.0,522.0,0.20712452
523.0,523.0,0.007769912
524.0,524.0,0.10070565
525.0,525.0,0.07062166
526.0,526.0,0.10133402
527.0,527.0,0.08458318
528.0,528.0,0.036676075
529.0,529.0,0.26617065
530.0,530.0,0.04174007
531.0,531.0,0.91232914
532.0,532.0,0.54474163
533.0,533.0,0.038801953
534.0,534.0,0.6179126
535.0,535.0,0.081050836
536.0,536.0,0.37178424
537.0,537.0,0.001753844
538.0,538.0,0.05602693
539.0,539.0,0.040034987
540.0,540.0,0.27411532
541.0,541.0,0.54964423
542.0,542.0,0.5598907
543.0,543.0,0.9050554
544.0,544.0,0.115361996
545.0,545.0,0.3216418
546.0,546.0,0.25579065
547.0,547.0,0.6073624
548.0,548.0,0.29529715
549.0,549.0,0.03662606
550.0,550.0,0.35403818
551.0,551.0,0.10493761
552.0,552.0,0.37197515
553.0,553.0,0.27585283
554.0,554.0,0.34730184
555.0,555.0,0.039349437
556.0,556.0,0.2893001
557.0,557.0,0.012331448
