X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
87.0,87.0,train,0.0022550005711772293,77.65287282629421,0.9222774393732984
88.0,88.0,train,1.8615512317119524E-4,8.785933467637904,0.19013563717354787
89.0,89.0,train,0.003976591981429907,96.27347565923513,0.9889457377941471
90.0,90.0,train,0.0012360075405200466,56.62062900419293,0.7534594639605094
91.0,91.0,train,0.00208732315827709,74.38899501414744,0.9060181826999378
92.0,92.0,train,0.0016934421331045487,67.37892553576742,0.8531641797253628
93.0,93.0,train,0.001307836536343099,58.33220929517769,0.7727265497304031
94.0,94.0,train,0.0011340235550795783,54.05007293705189,0.7232649789700852
95.0,95.0,train,9.506691828607117E-4,48.8160979378365,0.6593770751002069
97.0,97.0,train,0.001396452752683931,60.760211333490766,0.7944346951100802
99.0,99.0,train,0.0019756396142458373,71.94402563972392,0.8933424074447116
