Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.00581E-4,4.008909295,0.107692929,0.632542655,0.028901734,0.069767442
1.06137E-4,4.257626612,0.11329128,0.622555139,0.028901734,0.069767442
1.10347E-4,4.506864556,0.117510442,0.61298377,0.028901734,0.069767442
1.16427E-4,4.756212583,0.123568083,0.603828548,0.028901734,0.069767442
1.20253E-4,5.00399751,0.127358311,0.595089471,0.034682081,0.069767442
1.23808E-4,5.260046089,0.130866054,0.586350395,0.034682081,0.069767442
1.27809E-4,5.500079948,0.134796718,0.578443612,0.034682081,0.069767442
1.3323E-4,5.761891542,0.140093186,0.570120682,0.040462428,0.069767442
1.36606E-4,6.00429751,0.143376153,0.562630046,0.040462428,0.069767442
1.41934E-4,6.255445824,0.148531242,0.555139409,0.040462428,0.069767442
1.44786E-4,6.513914911,0.151277149,0.547648772,0.040462428,0.069767442
1.49501E-4,6.763851093,0.155798465,0.540574282,0.040462428,0.069767442
1.55899E-4,7.009133511,0.161895506,0.533915938,0.040462428,0.069767442
1.60983E-4,7.262465686,0.166709066,0.527257595,0.040462428,0.069767442
1.63943E-4,7.5060706,0.169498618,0.521015397,0.040462428,0.069767442
1.67953E-4,7.755159976,0.173262409,0.5147732,0.040462428,0.069767442
1.72498E-4,8.010517187,0.177508561,0.508531003,0.046242775,0.069767442
1.75661E-4,8.254524859,0.180450224,0.502704952,0.046242775,0.069767442
1.81999E-4,8.505130424,0.186313168,0.496878901,0.046242775,0.093023256
1.85601E-4,8.762739388,0.189626978,0.491052851,0.046242775,0.11627907
1.91451E-4,9.00760438,0.194979664,0.485642946,0.052023121,0.139534884
1.95117E-4,9.258613352,0.198316606,0.480233042,0.052023121,0.139534884
1.98353E-4,9.514877945,0.201250129,0.474823138,0.057803468,0.139534884
2.03272E-4,9.755966913,0.205688549,0.46982938,0.057803468,0.139534884
2.06078E-4,10.001536273,0.208209072,0.464835622,0.063583815,0.139534884
2.09755E-4,10.251379681,0.211500676,0.459841864,0.063583815,0.139534884
2.1334E-4,10.505768789,0.21469679,0.454848107,0.069364162,0.139534884
2.16901E-4,10.763748462,0.217858338,0.449854349,0.075144509,0.139534884
2.2068E-4,11.00379083,0.221199189,0.445276737,0.075144509,0.139534884
2.24221E-4,11.271169618,0.224317378,0.44028298,0.075144509,0.139534884
2.28927E-4,11.510322822,0.22844159,0.435705368,0.075144509,0.139534884
2.35829E-4,11.753578857,0.234451386,0.431543903,0.075144509,0.162790698
2.3947E-4,12.015928033,0.237602219,0.426966292,0.075144509,0.162790698
2.43528E-4,12.257480546,0.241099595,0.422804827,0.080924855,0.162790698
2.46815E-4,12.502997931,0.243919498,0.418643362,0.080924855,0.162790698
2.52822E-4,12.753557338,0.249047794,0.414481898,0.080924855,0.186046512
2.5706E-4,13.008683268,0.252644662,0.410320433,0.080924855,0.186046512
2.61187E-4,13.267930161,0.256130474,0.406158968,0.080924855,0.186046512
2.6514E-4,13.505031146,0.25945385,0.40241365,0.080924855,0.186046512
2.73545E-4,13.775289124,0.26647164,0.398252185,0.092485549,0.255813953
2.78021E-4,14.023257585,0.270182359,0.394506866,0.098265896,0.255813953
2.8093E-4,14.274910539,0.272583283,0.390761548,0.098265896,0.279069767
2.82791E-4,14.500495871,0.274115396,0.387432376,0.098265896,0.279069767
2.84556E-4,14.755950145,0.275564991,0.383687058,0.104046243,0.302325581
2.86649E-4,15.013212422,0.277280737,0.379941739,0.104046243,0.302325581
2.91632E-4,15.273387547,0.281348824,0.376196421,0.10982659,0.302325581
2.97095E-4,15.509367578,0.285782837,0.372867249,0.115606936,0.302325581
2.99443E-4,15.778054295,0.287680351,0.369121931,0.115606936,0.302325581
3.04618E-4,16.019067732,0.291844001,0.365792759,0.115606936,0.302325581
3.06903E-4,16.263382052,0.293674488,0.362463587,0.115606936,0.302325581
3.10975E-4,16.510527774,0.296925379,0.359134415,0.115606936,0.302325581
3.14667E-4,16.760774122,0.299859756,0.355805243,0.115606936,0.302325581
3.17435E-4,17.013816539,0.302051724,0.352476072,0.115606936,0.302325581
3.19642E-4,17.268861921,0.303795173,0.3491469,0.12716763,0.302325581
3.21942E-4,17.525604466,0.305606812,0.345817728,0.138728324,0.302325581
3.25069E-4,17.752151249,0.308061806,0.342904702,0.150289017,0.302325581
3.27453E-4,18.013085853,0.309928414,0.339575531,0.156069364,0.302325581
3.29084E-4,18.275748101,0.311202017,0.336246359,0.156069364,0.302325581
3.32262E-4,18.507379937,0.313677625,0.333333333,0.173410405,0.302325581
3.35428E-4,18.77484411,0.316134669,0.330004161,0.173410405,0.302325581
3.41524E-4,19.012583769,0.32084091,0.327091136,0.179190751,0.302325581
3.43832E-4,19.252601433,0.322614785,0.324178111,0.179190751,0.302325581
3.48377E-4,19.529845296,0.326093853,0.320848939,0.179190751,0.302325581
3.52702E-4,19.775238661,0.329387461,0.317935913,0.179190751,0.302325581
3.56618E-4,20.023813926,0.332355959,0.315022888,0.179190751,0.325581395
3.6178E-4,20.275360096,0.336248405,0.312109863,0.196531792,0.348837209
3.66522E-4,20.530582604,0.339804865,0.309196837,0.202312139,0.348837209
3.71114E-4,20.752382666,0.343230622,0.306699958,0.202312139,0.372093023
3.76603E-4,21.013968468,0.347301898,0.303786933,0.202312139,0.372093023
3.81548E-4,21.279402055,0.350947989,0.300873908,0.202312139,0.395348837
3.86393E-4,21.509898539,0.354500161,0.298377029,0.202312139,0.395348837
3.91967E-4,21.783083377,0.358563673,0.295464003,0.202312139,0.395348837
3.98939E-4,22.020809685,0.363610217,0.292967124,0.202312139,0.395348837
4.04125E-4,22.262560179,0.3673379,0.290470246,0.202312139,0.395348837
4.07096E-4,22.505641634,0.369463534,0.287973367,0.208092486,0.395348837
4.10828E-4,22.751190292,0.372124224,0.285476488,0.208092486,0.395348837
4.16726E-4,23.041193706,0.376305476,0.282563462,0.208092486,0.395348837
4.18847E-4,23.250363369,0.377801644,0.28048273,0.213872832,0.395348837
4.22449E-4,23.5032854,0.380335595,0.277985851,0.213872832,0.395348837
4.28704E-4,23.758785347,0.384711387,0.275488972,0.231213873,0.395348837
4.35866E-4,24.018876108,0.389683345,0.272992093,0.231213873,0.395348837
4.3982E-4,24.281441895,0.392411161,0.270495214,0.231213873,0.395348837
4.44908E-4,24.502345756,0.39590324,0.268414482,0.231213873,0.395348837
4.50745E-4,24.771342753,0.399884279,0.265917603,0.231213873,0.395348837
4.54825E-4,25.043142925,0.402651697,0.263420724,0.231213873,0.395348837
4.58662E-4,25.271948253,0.405242856,0.261339992,0.231213873,0.395348837
4.60726E-4,25.501968847,0.406631539,0.259259259,0.231213873,0.395348837
4.6398E-4,25.77986979,0.408814901,0.25676238,0.231213873,0.395348837
4.6844E-4,26.01326586,0.411794242,0.254681648,0.23699422,0.395348837
4.75057E-4,26.250116972,0.416187203,0.252600916,0.23699422,0.418604651
4.8033E-4,26.537312139,0.419664596,0.250104037,0.23699422,0.418604651
4.85869E-4,26.77892176,0.423294497,0.248023304,0.23699422,0.418604651
4.89789E-4,27.02305902,0.425849764,0.245942572,0.23699422,0.418604651
4.9297E-4,27.268715918,0.427915043,0.243861839,0.242774566,0.418604651
4.96292E-4,27.500484487,0.430063998,0.241781107,0.242774566,0.418604651
4.9881E-4,27.765109566,0.431687352,0.239700375,0.242774566,0.441860465
5.03921E-4,28.015854471,0.434968525,0.237619642,0.248554913,0.441860465
5.08526E-4,28.26872333,0.437908371,0.23553891,0.248554913,0.441860465
5.14409E-4,28.524870498,0.441642504,0.233458177,0.248554913,0.441860465
5.20396E-4,28.783671661,0.445416646,0.231377445,0.260115607,0.441860465
5.25623E-4,29.045305915,0.448690541,0.229296712,0.260115607,0.441860465
5.31755E-4,29.257235674,0.452507598,0.227632127,0.260115607,0.441860465
5.32862E-4,29.523475517,0.453193766,0.225551394,0.260115607,0.441860465
5.3605E-4,29.791090635,0.455164698,0.223470662,0.265895954,0.441860465
5.41738E-4,30.007272657,0.458664093,0.221806076,0.265895954,0.441860465
5.49302E-4,30.280956343,0.463282922,0.219725343,0.265895954,0.441860465
5.55751E-4,30.502158445,0.467190203,0.218060757,0.265895954,0.441860465
5.58246E-4,30.780883624,0.468694148,0.215980025,0.265895954,0.441860465
5.63601E-4,31.005951652,0.471907025,0.214315439,0.265895954,0.441860465
5.69E-4,31.289015822,0.475127235,0.212234707,0.271676301,0.441860465
5.75654E-4,31.518214261,0.479068913,0.210570121,0.271676301,0.441860465
5.84592E-4,31.808343046,0.484317146,0.208489388,0.271676301,0.441860465
5.92293E-4,32.043635357,0.488796479,0.206824802,0.277456647,0.441860465
5.9588E-4,32.281313442,0.490869868,0.205160216,0.283236994,0.441860465
6.02481E-4,32.521302873,0.494662653,0.20349563,0.283236994,0.441860465
6.04906E-4,32.762952851,0.496048858,0.201831045,0.283236994,0.441860465
6.07266E-4,33.005496519,0.49739467,0.200166459,0.283236994,0.441860465
6.14253E-4,33.25064556,0.50135737,0.198501873,0.283236994,0.441860465
6.19297E-4,33.559147864,0.504198187,0.19642114,0.283236994,0.441860465
6.22543E-4,33.807555273,0.506018256,0.194756554,0.283236994,0.441860465
6.25836E-4,34.057444246,0.507857763,0.193091968,0.283236994,0.441860465
6.33192E-4,34.309907132,0.511942063,0.191427382,0.283236994,0.441860465
